node_id,parent_id,version_label,makespan,delta_makespan_vs_parent,delta_makespan_vs_root,score,status,best_bound,relative_gap,elapsed_seconds,branches,conflicts,changed_fields,solver_script,spec_hash,parent_spec_hash
61,60,node_0061,1670,9,-58,-1676.5269461077844,feasible,1561.0,0.06526946107784432,180.04340129200136,382,0,"[""max_time_in_seconds"", ""notes""]",solvers/node_0061_solver.py,0117fc3dd86d236f,01bb14e39c40542f
62,56,node_0062,1685,36,-43,-1692.893175074184,feasible,1552.0,0.07893175074183977,90.0464457529888,236,0,"[""branching"", ""notes""]",solvers/node_0062_solver.py,c14bcdbd91c04705,cf00944a56933b42
63,56,node_0063,1665,16,-63,-1671.6066066066066,feasible,1555.0,0.06606606606606606,120.11439030600013,279,0,"[""max_time_in_seconds"", ""notes""]",solvers/node_0063_solver.py,225a35295e58a630,cf00944a56933b42
64,56,node_0064,1696,47,-32,-1704.4316037735848,feasible,1553.0,0.08431603773584906,90.05034815799445,383,0,"[""branching"", ""notes""]",solvers/node_0064_solver.py,95a9e879ba3743f0,cf00944a56933b42
65,57,node_0065,1670,8,-58,-1677.065868263473,feasible,1552.0,0.07065868263473053,90.08130756299943,169,0,"[""branching"", ""notes""]",solvers/node_0065_solver.py,650ee9a6c7f7754a,c84efdfb52900657
66,60,node_0066,1657,-4,-71,-1663.0953530476766,feasible,1556.0,0.06095353047676524,120.0837223349954,130,0,"[""branching"", ""notes""]",solvers/node_0066_solver.py,2502955e6dfda266,01bb14e39c40542f
67,66,node_0067,1649,-8,-79,-1654.7610673135234,feasible,1554.0,0.05761067313523347,120.04982934601139,382,0,"[""branching"", ""notes""]",solvers/node_0067_solver.py,a2a43d1207cc651a,2502955e6dfda266
68,67,node_0068,1659,10,-69,-1665.2085593731163,feasible,1556.0,0.062085593731163354,120.08520661300281,273,0,"[""branching"", ""notes""]",solvers/node_0068_solver.py,6b2f0bc6586a4e17,a2a43d1207cc651a
69,67,node_0069,1687,38,-41,-1694.7652637818612,feasible,1556.0,0.07765263781861292,120.06144858201151,383,0,"[""branching"", ""notes""]",solvers/node_0069_solver.py,a521fd09c44e464e,a2a43d1207cc651a
70,67,node_0070,1680,31,-48,-1687.3809523809523,feasible,1556.0,0.07380952380952381,120.05550076000509,303,0,"[""branching"", ""notes""]",solvers/node_0070_solver.py,2d02d660b7a6189b,a2a43d1207cc651a
71,67,node_0071,1660,11,-68,-1666.2048192771085,feasible,1557.0,0.06204819277108434,120.0715250580106,383,0,"[""branching"", ""notes""]",solvers/node_0071_solver.py,84ba882bec21c115,a2a43d1207cc651a
72,67,node_0072,1674,25,-54,-1680.989247311828,feasible,1557.0,0.06989247311827956,120.05890973799978,383,0,"[""branching"", ""notes""]",solvers/node_0072_solver.py,941c5569a696c50a,a2a43d1207cc651a
73,67,node_0073,1667,18,-61,-1673.3587282543492,feasible,1561.0,0.0635872825434913,180.05092453802354,274,0,"[""branching"", ""max_time_in_seconds"", ""notes""]",solvers/node_0073_solver.py,31ad9d32bfd0af07,a2a43d1207cc651a
74,68,node_0074,1680,21,-48,-1687.4404761904761,feasible,1555.0,0.0744047619047619,120.08386970800348,119,0,"[""branching"", ""notes""]",solvers/node_0074_solver.py,6a8a4036f3a07071,6b2f0bc6586a4e17
75,67,node_0075,1676,27,-52,-1683.2195704057278,feasible,1555.0,0.07219570405727924,120.05237776698777,187,0,"[""branching"", ""notes""]",solvers/node_0075_solver.py,c9ac665a13d4995f,a2a43d1207cc651a
76,71,node_0076,1680,20,-48,-1687.4404761904761,feasible,1555.0,0.0744047619047619,120.06313570801285,312,0,"[""branching"", ""notes""]",solvers/node_0076_solver.py,042c31a51be8bfd0,84ba882bec21c115
77,67,node_0077,1676,27,-52,-1682.8019093078758,feasible,1562.0,0.06801909307875895,180.09144055302022,380,0,"[""branching"", ""max_time_in_seconds"", ""notes""]",solvers/node_0077_solver.py,013c3bf7ff2b094f,a2a43d1207cc651a
78,67,node_0078,1684,35,-44,-1691.541567695962,feasible,1557.0,0.07541567695961995,120.10661081498256,262,0,"[""branching"", ""notes""]",solvers/node_0078_solver.py,9314c2b4892775d0,a2a43d1207cc651a
79,67,node_0079,1698,49,-30,-1706.3627797408717,feasible,1556.0,0.08362779740871613,120.04464895301498,270,0,"[""branching"", ""notes""]",solvers/node_0079_solver.py,59ca6477dc0dd14e,a2a43d1207cc651a
80,67,node_0080,1679,30,-49,-1686.3853484216795,feasible,1555.0,0.07385348421679572,120.05624389997683,188,0,"[""branching"", ""notes""]",solvers/node_0080_solver.py,a3b13342c77eed1a,a2a43d1207cc651a
