node_id,parent_id,version_label,makespan,delta_makespan_vs_parent,delta_makespan_vs_root,score,status,best_bound,relative_gap,elapsed_seconds,branches,conflicts,changed_fields,candidate,spec_hash,parent_spec_hash
0,,node_0000,1821,,0,-1821.0000300769161,feasible,1764.0,0.03130148270181219,30.0769162090146,219,0,"[""backend"", ""branching"", ""encoding"", ""log_search_progress"", ""max_time_in_seconds"", ""notes"", ""redundant_bounds"", ""symmetry_breaking"", ""warm_start""]",candidates/node_0000.json,f502b88a4c7d50b7,
1,0,node_0001,1803,-18,-18,-1803.0001800763634,feasible,1764.0,0.021630615640599003,180.07636349700624,236,0,"[""max_time_in_seconds"", ""notes"", ""redundant_bounds""]",candidates/node_0001.json,65cbec36ceab0d6c,f502b88a4c7d50b7
2,1,node_0002,1801,-2,-20,-1801.0003000820277,feasible,1764.0,0.020544142143253747,300.08202761699795,394,0,"[""branching"", ""max_time_in_seconds"", ""notes""]",candidates/node_0002.json,bb370f85aac53f1e,65cbec36ceab0d6c
3,2,node_0003,1792,-9,-29,-1792.0003000853599,feasible,1764.0,0.015625,300.0853598740068,261,0,"[""branching"", ""notes""]",candidates/node_0003.json,7e80c3f87092c5bc,bb370f85aac53f1e
4,3,node_0004,1795,3,-26,-1795.0004801107152,feasible,1764.0,0.017270194986072424,480.11071529600304,405,0,"[""branching"", ""max_time_in_seconds"", ""notes""]",candidates/node_0004.json,833074b0071f9895,7e80c3f87092c5bc
5,3,node_0005,1799,7,-22,-1799.000480132602,feasible,1764.0,0.019455252918287938,480.1326020699926,309,0,"[""branching"", ""max_time_in_seconds"", ""notes""]",candidates/node_0005.json,9ce06782d6603567,7e80c3f87092c5bc
